refPeriodId,refYear,flowDesc,partnerDesc,primaryValue
20190101,2019,Import,USA,81475274142
20190101,2019,Export,USA,1.33546E+11
20190101,2019,Import,USA,30167688606
20190101,2019,Export,USA,47749742847
20190101,2019,Import,USA,28656639981
20190101,2019,Export,USA,80397869393
20190101,2019,Import,USA,774180942
20190101,2019,Import,USA,223342620.6
20190101,2019,Import,USA,18257543854
20190101,2019,Import,USA,193041931.6
20190101,2019,Export,USA,50399994.49
20190101,2019,Import,USA,2171082290
20190101,2019,Export,USA,4221245857
20190101,2019,Import,USA,1031753916
20190101,2019,Export,USA,1126500201
20190101,2019,Import,USA,62411553264
20190101,2019,Import,USA,23211195443
20190101,2019,Import,USA,17803986401
20190101,2019,Import,USA,774180942
20190101,2019,Import,USA,223336253.4
20190101,2019,Import,USA,18052906584
20190101,2019,Import,USA,193040754.9
20190101,2019,Import,USA,2152906885
20190101,2019,Export,USA,1.07027E+11
20190101,2019,Export,USA,46021591170
20190101,2019,Export,USA,56737068797
20190101,2019,Export,USA,50150535.63
20190101,2019,Export,USA,4218047340
20190101,2019,Import,USA,6500194448
20190101,2019,Export,USA,738838659.2
20190101,2019,Import,USA,2395655194
20190101,2019,Export,USA,508016284.4
20190101,2019,Import,USA,3940284435
20190101,2019,Export,USA,230673826.3
20190101,2019,Import,USA,164254818.8
20190101,2019,Export,USA,148548.402
20190101,2019,Import,USA,6146375545
20190101,2019,Export,USA,19426750650
20190101,2019,Import,USA,4490858105
20190101,2019,Export,USA,746671960.1
20190101,2019,Import,USA,1612704476
20190101,2019,Export,USA,18676784805
20190101,2019,Import,USA,6367.293
20190101,2019,Import,USA,25144389.4
20190101,2019,Import,USA,1176.723
20190101,2019,Export,USA,95368.815
20190101,2019,Import,USA,17661030.39
20190101,2019,Export,USA,3198516.709
20190101,2019,Import,USA,5385396968
20190101,2019,Export,USA,5226810940
20190101,2019,Import,USA,69979864.04
20190101,2019,Export,USA,473463432.9
20190101,2019,Import,USA,5299664668
20190101,2019,Export,USA,4753341965
20190101,2019,Import,USA,15238061.92
20190101,2019,Export,USA,5541.639
20190101,2019,Import,USA,514374.757
20190101,2019,Import,USA,1031753916
20190101,2019,Export,USA,1126500201
20190101,2019,Import,USA,1031753916
20190101,2019,Export,USA,1126500201
20200101,2020,Import,USA,78402821567
20200101,2020,Export,USA,1.19199E+11
20200101,2020,Import,USA,30295390834
20200101,2020,Export,USA,45363283343
20200101,2020,Import,USA,26570706679
20200101,2020,Export,USA,72062443137
20200101,2020,Import,USA,967720966.2
20200101,2020,Import,USA,162033799.3
20200101,2020,Import,USA,17154349565
20200101,2020,Import,USA,53148224.64
20200101,2020,Import,USA,251899162.8
20200101,2020,Export,USA,45374026.64
20200101,2020,Import,USA,2048541911
20200101,2020,Export,USA,624611726.5
20200101,2020,Import,USA,899030424.9
20200101,2020,Export,USA,1103497728
20200101,2020,Import,USA,60812017447
20200101,2020,Import,USA,24538246939
20200101,2020,Import,USA,15879223674
20200101,2020,Import,USA,967720966.2
20200101,2020,Import,USA,161945766.8
20200101,2020,Import,USA,16914524331
20200101,2020,Import,USA,53148224.64
20200101,2020,Import,USA,251817348.7
20200101,2020,Import,USA,2045390196
20200101,2020,Export,USA,1.00479E+11
20200101,2020,Export,USA,43527081612
20200101,2020,Export,USA,56281615250
20200101,2020,Export,USA,45237455.56
20200101,2020,Export,USA,624611726.5
20200101,2020,Import,USA,5599665129
20200101,2020,Export,USA,919685681.4
20200101,2020,Import,USA,2096911958
20200101,2020,Export,USA,690166120.9
20200101,2020,Import,USA,3328860833
20200101,2020,Export,USA,229447610.5
20200101,2020,Import,USA,173892337.8
20200101,2020,Export,USA,71949.983
20200101,2020,Import,USA,5162092948
20200101,2020,Export,USA,11572871610
20200101,2020,Import,USA,3579163355
20200101,2020,Export,USA,643617455.8
20200101,2020,Import,USA,1556925474
20200101,2020,Export,USA,10929212400
20200101,2020,Import,USA,88032.484
20200101,2020,Import,USA,22764371.78
20200101,2020,Export,USA,41754.063
20200101,2020,Import,USA,3151714.225
20200101,2020,Import,USA,5930015619
20200101,2020,Export,USA,5124608898
20200101,2020,Import,USA,81068582.54
20200101,2020,Export,USA,502418154.3
20200101,2020,Import,USA,5805696698
20200101,2020,Export,USA,4622167877
20200101,2020,Import,USA,43168524.13
20200101,2020,Import,USA,81814.152
20200101,2020,Export,USA,22867.035
20200101,2020,Import,USA,899030424.9
20200101,2020,Export,USA,1103497728
20200101,2020,Import,USA,899030424.9
20200101,2020,Export,USA,1103497728
20210101,2021,Import,USA,86798995293
20210101,2021,Export,USA,1.44604E+11
20210101,2021,Import,USA,32763169848
20210101,2021,Export,USA,53354146795
20210101,2021,Import,USA,28006432575
20210101,2021,Export,USA,87883080437
20210101,2021,Import,USA,1551412684
20210101,2021,Import,USA,161820633.5
20210101,2021,Import,USA,19821332789
20210101,2021,Export,USA,43739.306
20210101,2021,Import,USA,198253152.7
20210101,2021,Import,USA,393150634
20210101,2021,Export,USA,59600785.14
20210101,2021,Import,USA,2460202501
20210101,2021,Export,USA,1955812341
